Song_name,Singer,Language,,,,,,,,,,,,,,,,
If You Come Today,Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Kalletigintha Ninna,S. Janaki|Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Mutthe Prathama,S. P. Balasubrahmanyam|Vani Jairam,Kannada,,,,,,,,,,,,,,,,
Kangalu Vandane,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Utthara Dhruvadim,P.B. Sreenivas|P. Susheela,Kannada,,,,,,,,,,,,,,,,
O Gelathi,S. P. Balasubrahmanyam|Vani Jairam,Kannada,,,,,,,,,,,,,,,,
Kodagina Kaaveri,P.B. Sreenivas|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Raja Nanna Raja,Shankar Nag|Manjula Gururaj,Kannada,,,,,,,,,,,,,,,,
Tharikeri Yerimele,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Belli Modada,P.B. Sreenivas|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Malenaada Henna,S. Janaki|P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Savira Mathugalethake,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Kandha Oh Nanna Kanda,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Sangeethave,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Thata Pata Hanigalu Baaninda,S. P. Balasubrahmanyam|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Henne Ninna Kannanota,S. Janaki|K J Yesudas,Kannada,,,,,,,,,,,,,,,,
Nagu Nagutiruva Mogadali,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Doddavarella Jaanaralla,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Yee Sambhashane,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Naaniruvudu Nimagaagi,Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Kanna Notadalli,P. Susheela,Kannada,,,,,,,,,,,,,,,,
Olave Jeevana,P.B. Sreenivas|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Modala Baari,S. P. Balasubrahmanyam|Manjula Gururaj,Kannada,,,,,,,,,,,,,,,,
Idhu Yaaru Bareda Katheya,Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Kannadathi Nammodathi,P.B. Sreenivas|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Hey Ninagagiye,Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Aase Heluvase,Dr. Rajkumar|P Suhseela|S. Janaki,Kannada,,,,,,,,,,,,,,,,
Yuga Ugaadi Kaledaro,S. Janaki,Kannada,,,,,,,,,,,,,,,,
Mundhe Baani Innoo Mundhe Banni,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Gangi Ninmele Manasa,S. Janaki|P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Nagu Nagutha Nali Nali,P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Raaga Anuraaga,S. Janaki|Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Sa Ri Ga Ma,S. P. Balasubrahmanyam|Latha Hamsalekha,Kannada,,,,,,,,,,,,,,,,
Sogasaagide,S. P. Balasubrahmanyam|Vani Jairam,Kannada,,,,,,,,,,,,,,,,
Yaru Neenu,Kousalya|Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Alle Nillu,S. Janaki|P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Ninna Ninna Snehaka,Dr. Rajkumar|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Nannedhe Kogileya,S. Janaki,Kannada,,,,,,,,,,,,,,,,
Naguva Ninna Mogava Chenna,S. P. Balasubrahmanyam|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Nagu Endhidhe,S. Janaki,Kannada,,,,,,,,,,,,,,,,
Raja Nanna Raja - Title Music,G. K. Venkatesh,Kannada,,,,,,,,,,,,,,,,
Rajadhi Raja,S. Janaki|Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Nee Nadeva Haadiyalli,S. Janaki|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Nee Nadeva,P Suhseela,Kannada,,,,,,,,,,,,,,,,
Maathonda,S. P. Balasubrahmanyam|S. Janaki,Kannada,,,,,,,,,,,,,,,,
Nannallu Ninnallu,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Gangeya Kareyali,S. P. Balasubrahmanyam|Vani Jairam,Kannada,,,,,,,,,,,,,,,,
Thalli Kattuva Shubhavela,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Maagiya Chaliyalli,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Shubhashaya Maduveya,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Haalalladaru - Bit,B.R.Chaya,Kannada,,,,,,,,,,,,,,,,
Ninne Ninnege,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Jeevana Kaalada,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Kaddu Kaddu Nodu,P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Sole Illa Ninna Haadu (Sad),S. P. Balasubrahmanyam|S. Janaki,Kannada,,,,,,,,,,,,,,,,
Ninna Kanda Nanna,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Notadage Nageya Meeti,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Bisi Bisi Kajjaya,Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Ondanondu Kaladhalli,Kavita Krishnamurthy,Kannada,,,,,,,,,,,,,,,,
Mugiletha Oduthide,P Suhseela|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Naguva Nayana,S. P. Balasubrahmanyam|S. Janaki,Kannada,,,,,,,,,,,,,,,,
Hoovinda Bareda Katheya,Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Olumeya Hoove,P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Sweety Nanna,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Naguvudo Aluvudo,P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Yeno Santhosha,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Kallu Kavitheya Haaduvudu,P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Nimagirali Naadu,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Ninna Roopu Edeya,S. Janaki,Kannada,,,,,,,,,,,,,,,,
Ninna Nanna,Dr. Rajkumar,Kannada,,,,,,,,,,,,,,,,
Nesara Nodu,Sulochana,Kannada,,,,,,,,,,,,,,,,
Hoovondu Beku Ballige,S. Janaki,Kannada,,,,,,,,,,,,,,,,
Huliya Haalina Mevu,S. P. Balasubrahmanyam|K. S. Chithra,Kannada,,,,,,,,,,,,,,,,
Taanonda Nenedare Maanava,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Joke Nannu Balliya Minchu,L.R. Eswari,Kannada,,,,,,,,,,,,,,,,
Nee Tanda Kaanike,S. Janaki|P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Bhagavantha Kaikotta,P.B. Sreenivas,Kannada,,,,,,,,,,,,,,,,
Mussanjeli,Manjula Gururaj,Kannada,,,,,,,,,,,,,,,,
Idu Maayabajaaru,S. P. Balasubrahmanyam|K. S. Chithra,Kannada,,,,,,,,,,,,,,,,
Hubballiyinda Haribanda,P. Susheela,Kannada,,,,,,,,,,,,,,,,
Nidireyu Sadaa Eko Doora,P.B. Sreenivas|P. Susheela|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Nille Gowramma,S. P. Balasubrahmanyam|K J Yesudas,Kannada,,,,,,,,,,,,,,,,
Bangaradha Bombeye,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Saagali Guri Serali,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Naguva Nayana,S. P. Balasubrahmanyam|S. Janaki,Kannada,,,,,,,,,,,,,,,,
Nee Bandu Ninthaaga,P.B. Sreenivas|P. Susheela,Kannada,,,,,,,,,,,,,,,,
Jaadisi Odi,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Sri Krishna Bandanu,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Ellidde Illeethanka,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Beladingalondu Hennaagi Bandanthe,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Ammamma,S. Janaki,Kannada,,,,,,,,,,,,,,,,
Gange Baare Tunge Baare,S. P. Balasubrahmanyam|S. Janaki,Kannada,,,,,,,,,,,,,,,,
Bhoolokavella,S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Ee Binka Bidu,S. Janaki|S. P. Balasubrahmanyam,Kannada,,,,,,,,,,,,,,,,
Hari Sarvotthama,Bellur Sisters,Kannada,,,,,,,,,,,,,,,,
