song_name,singer,language
O Haseena Zulfonwale Jane Jahan,Asha Bhosle|Mohammed Rafi,Hindi
Pal Bhar Ke Liye,Kishore Kumar|Usha Khanna,Hindi
Hum Aap Ki Ankhon Mein,Geeta Dutt|Mohammed Rafi,Hindi
Are Diwano Mujhe Pehchano,Kishore Kumar,Hindi
Ehsan Tera Hoga Mujh Par,Mohammed Rafi,Hindi
Kisi Nazar Ko Tera Intezar,Asha Bhosle|Bhupinder Singh,Hindi
Apni To Jaise Taise,Kishore Kumar,Hindi
Dekho Maine Dekha Hai Ek Sapna,Amit Kumar|Lata Mangeshkar,Hindi
Tere Khushboo Mein Base Khat,Jagjit Singh,Hindi
Koi Yeh Kaise Bataye,Jagjit Singh,Hindi
Papa Kehte Hain,Udit Narayan,Hindi
Roop Tera Mastana,Kishore Kumar,Hindi
Ye Ladka Hay Allah Kaisa Hai Diwana,Asha Bhosle|Mohammed Rafi,Hindi
Om Shanti Om (Meri Umar Ke Naujawano),Kishore Kumar,Hindi
Oh Hansini,Kishore Kumar,Hindi
Chup Gaye Sare Nazare,Lata Mangeshkar|Mohammed Rafi,Hindi
Pukarta Chala Hoon Main,Mohammed Rafi,Hindi
Ye Samaa Samaa Hai Pyar Ka,Lata Mangeshkar,Hindi
Janu Meri Jaan,Asha Bhosle|Kishore Kumar|Mohammed Rafi|Usha Mangeshkar,Hindi
Lekar Hum Diwana Dil,Asha Bhosle|Kishore Kumar,Hindi
Aap Ke Aa Jane Se,Mohammad Aziz|Sadhana Sargam,Hindi
Tujhse Naraz Nahin Zindagi (Male),Anup Ghoshal,Hindi
Dekha Na Haye Re,Kishore Kumar,Hindi
Ye Jawani Hai Diwani,Kishore Kumar,Hindi
Phir Chiddi Raat,Lata Mangeshkar|Talat Aziz,Hindi
Pyar Mujh Se Jo Kiya,Jagjit Singh,Hindi
Aap Ki Nazron Ne Samjha,Lata Mangeshkar,Hindi
Ham Bane Tum Bane,Lata Mangeshkar|S. P. Balasubrahmanyam,Hindi
Aaj Phir Tumpe,Pankaj Udhas|Anuradha Paudwal,Hindi
Tere Mere Sapne Ab Ek Rang Hai,Mohammed Rafi,Hindi
Pal Pal Dil Ke Paas,Kishore Kumar,Hindi
Mere Mehboob Qayamat Hogi (Part 1),Kishore Kumar,Hindi
Lambi Judaai,Reshma,Hindi
Chalte Chalte,Kishore Kumar,Hindi
Khaike Paan Banaras Wala,Kishore Kumar,Hindi
Dilbar Mere,Kishore Kumar|Anette,Hindi
Main Teri Mohabbat Mein (Part-i),Mohammad Aziz|Sadhana Sargam,Hindi
Chalte Chalte Yun Hi Koi,Lata Mangeshkar,Hindi
Kya Khoob Lagti Ho,Kanchan|Mukesh,Hindi
Huzur Is Kadar,Bhupinder Singh|Suresh Wadkar,Hindi
Taarif Karoon Kya Uski,Mohammed Rafi,Hindi
Aaja Sham Hone Aayee,Lata Mangeshkar|S. P. Balasubrahmanyam,Hindi
Phoolon Ke Rang Se,Kishore Kumar,Hindi
Agar Tum Mil Jao,Shreya Ghoshal,Hindi
