song_name,singer,language
Kokilamma Pelliki,S. P. Balasubrahmanyam|P. Susheela,Telugu
Chinnari,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nenoka Sindhu,P. Susheela,Telugu
Kailove Chedugudu,Naveen|S.P.Charan|S. P. Balasubrahmanyam,Telugu
Aakanulal,S. P. Balasubrahmanyam|S. Janaki,Telugu
Ennenno Janmala Bandham,Vani Jairam|S. P. Balasubrahmanyam,Telugu
Naa Meedha,S. Janaki,Telugu
Porapatidhi,S. P. Balasubrahmanyam|S. Janaki|Rajendra Prasad,Telugu
Manasu Palike,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nandikonda,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Omkara Panjara Sukeem,P.B. Sreenivas|Madhavapeddi Satyam,Telugu
Edalo Laya,S. Janaki,Telugu
Bhale Bhale Mogaadivoy,L.R. Eswari|S. P. Balasubrahmanyam,Telugu
Aaskasam Eenatido,S. Janaki,Telugu
Yeduru Choosina,S. P. Balasubrahmanyam|Chorus|P. Susheela,Telugu
Flute Music - Hariprasad Chaurasia,Pandit Hariprasad Chaurasia,Telugu
Oka Brundavanam,Vani Jairam,Telugu
Mavayya Anna Pilupu,S. P. Balasubrahmanyam|P. Susheela|S. P. Sailaja,Telugu
Idi Tholi Rathri,S. P. Balasubrahmanyam,Telugu
Eevela Naalo,Ghanatasala|P Suhseela,Telugu
Chakkani Chukkala,S. P. Balasubrahmanyam|S. Janaki,Telugu
Idedo Golaga,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nee Meeda,S. P. Balasubrahmanyam|S. Janaki,Telugu
Jigi Jigi,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Manishiko Sneham,S. P. Balasubrahmanyam|S. Janaki,Telugu
Abba Dheeni,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Mella Mella Mellaga,Ghanatasala|P. Susheela,Telugu
Alli Billi,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Angaanga Veeraangame,S. P. Balasubrahmanyam|P. Susheela,Telugu
Hawa Hawai Choopokati,S. P. Balasubrahmanyam|S. Janaki,Telugu
Vatapatra (Sad),P. Susheela,Telugu
Abba Rupamentha,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Chinuku Chinuku,S. P. Balasubrahmanyam,Telugu
Ayyayo Brahmayya,Ghanatasala,Telugu
Yentha Yadigipoyavayya,S. P. Balasubrahmanyam,Telugu
Yemani Cheli,S. P. Balasubrahmanyam|S. Janaki,Telugu
Cheppalani,S P Balasubrahamanyam,Telugu
Devude Ichchadu,K J Yesudas,Telugu
Shanthi Om Shanthi Are Khaidi,S. P. Balasubrahmanyam|S. Janaki,Telugu
Aa Navvula Kosam,Ghanatasala|P. Susheela,Telugu
Maate Manthram,S. P. Balasubrahmanyam|S. Janaki,Telugu
Merise Tharalone,S. P. Balasubrahmanyam,Telugu
Chakravarthiki Veedi,S. P. Balasubrahmanyam,Telugu
Repanti Roopamkanti,Ghanatasala|P. Susheela,Telugu
Ye Navade Teramo,K J Yesudas,Telugu
Ni Charanam Kamalam,S. P. Balasubrahmanyam|S. Janaki,Telugu
Raja Rajadhi,S. P. Balasubrahmanyam,Telugu
Raja Cheyyaveste,S. P. Balasubrahmanyam,Telugu
Sande Poddu Megham,S. P. Balasubrahmanyam|P. Susheela,Telugu
Abbanee Pattentha,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Chakravarthi,S. P. Balasubrahmanyam|S.P.Sailaja,Telugu
Ninu Veedani Needanu Nene,P. Susheela,Telugu
Anando,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
